"3","Wall St. Bears Claw Back Into the Black (Reuters)","Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again."
"3","Carlyle Looks Toward Commercial Aerospace (Reuters)","Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market."
"3","Oil and Economy Cloud Stocks' Outlook (Reuters)","Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums."
"3","Iraq Halts Oil Exports from Main Southern Pipeline (Reuters)","Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday."
"3","Oil prices soar to all-time record, posing new menace to US economy (AFP)","AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections."
"3","Stocks End Up, But Near Year Lows (Reuters)","Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\Dell Inc. (DELL.O)"
"3","Money Funds Fell in Latest Week (AP)","AP - Assets of the nation's retail money market mutual funds fell by  #36;1.17 billion in the latest week to  #36;849.98 trillion, the Investment Company Institute said Thursday."
"3","Fed minutes show dissent over inflation (USATODAY.com)","USATODAY.com - Retail sales bounced back a bit in July, and new claims for jobless benefits fell last week, the government said Thursday, indicating the economy is improving from a midsummer slump."
"3","Safety Net (Forbes.com)","Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley."
"3","Wall St. Bears Claw Back Into the Black"," NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again."
"3","Oil and Economy Cloud Stocks' Outlook"," NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums."
"3","No Need for OPEC to Pump More-Iran Gov"," TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply."
"3","Non-OPEC Nations Should Up Output-Purnomo"," JAKARTA (Reuters) - Non-OPEC oil exporters should consider  increasing output to cool record crude prices, OPEC President  Purnomo Yusgiantoro said on Sunday."
"3","Google IPO Auction Off to Rocky Start"," WASHINGTON/NEW YORK (Reuters) - The auction for Google  Inc.'s highly anticipated initial public offering got off to a  rocky start on Friday after the Web search company sidestepped  a bullet from U.S. securities regulators."
"3","Dollar Falls Broadly on Record Trade Gap"," NEW YORK (Reuters) - The dollar tumbled broadly on Friday  after data showing a record U.S. trade deficit in June cast  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the growing gap."
"3","Rescuing an Old Saver","If you think you may need to help your elderly relatives with their finances, don't be shy about having the money talk -- soon."
"3","Kids Rule for Back-to-School","The purchasing power of kids is a big part of why the back-to-school season has become such a huge marketing phenomenon."
"3","In a Down Market, Head Toward Value Funds","There is little cause for celebration in the stock market these days, but investors in value-focused mutual funds have reason to feel a bit smug -- if only because they've lost less than the folks who stuck with growth."
"3","US trade deficit swells in June","The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures."
"3","Shell 'could be target for Total'","Oil giant Shell could be bracing itself for a takeover attempt, possibly from French rival Total, a  press report claims."
"3","Google IPO faces Playboy slip-up","The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine."
"3","Eurozone economy keeps growing","Official figures show the 12-nation eurozone economy continues to grow, but there are warnings it may slow down later in the year."
"3","Expansion slows in Japan","Economic growth in Japan slows down as the country experiences a drop in domestic and corporate spending."
"3","Rand falls on shock SA rate cut","Interest rates are trimmed to 7.5 by the South African central bank,  but the lack of warning hits the rand and surprises markets."
"3","Car prices down across the board","The cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found."
"3","South Korea lowers interest rates","South Korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy."
"3","Google auction begins on Friday","An auction of shares in Google, the web search engine which could be floated for as much as \$36bn, takes place on Friday."
"3","HP shares tumble on profit news","Hewlett-Packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations."
"3","Mauritian textile firm cuts jobs","One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs."
"3","Chad seeks refugee aid from IMF","Chad asks the IMF for a loan to pay for looking after more than 100,000 refugees from conflict-torn Darfur in western Sudan."
"3","Japan nuclear firm shuts plants","The company running the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks."
"3","Veteran inventor in market float","Trevor Baylis, the veteran inventor famous for creating the Freeplay clockwork radio, is planning to float his company on the stock market."
"3","Saudi Arabia to open up oil taps","Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices."
"3","Saudi phone sector gets \$1bn lift","A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia."
"3","Indians fill rail skills shortage","Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage."
"3","Steady as they go","BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters."
"3","Google IPO: Type in 'confusing,' 'secrecy'","I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news."
"3","A bargain hunter's paradise","Massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores."
"3","Researchers seek to untangle the e-mail thread","E-mail is a victim of its own success. That's the conclusion of IBM Corp. researchers in Cambridge, who have spent nearly a decade conducting field tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's killer application."
"3","Microsoft Corp. 2.0: a kinder corporate culture","Even a genius can mess up. Bill Gates was a brilliant technologist when he cofounded Microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he thought."
"3","Letters","Target the abusers of legal weapons We can all share the outrage, expressed by columnist Steve Bailey (''Summer Sizzler, quot; Aug. 11), at the killings in the city's poor neighborhoods. But there's no need to share his ignorance. He argues for renewal of the so-called assault weapon ban, claiming that otherwise, ''UZIs and AK-47s could again be flooding the streets. quot; His ..."
"3","Somewhere between gleam and gloom","President Bush has been saying that the US economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn."
"3","Technology company sues five ex-employees ","A Marlborough-based technology company is suing five former employees, including three senior managers, for allegedly conspiring against their employer while working on opening a competing business."
"3","Grant to aid Lynn Central Square","Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week."
"3","State grant to aid Lynn; Bank gives Salem \$10k","Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week."
"3","A New Legal Chapter for a 90's Flameout","A lawsuit against Gary Winnick, the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded."
"3","Will Russia, the Oil Superpower, Flex Its Muscles?","Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil."
"3","Switching Titles, if Not Gears, at Dell","Kevin B. Rollins, the new chief executive of Dell, talks about Dell's transitory slip in customer service, and why he sees a broader technology recovery taking place."
"3","For Sale: The Ultimate Status Symbol","With the country in need of cash and rich people dying to show off their wealth, Mr. Stein proposes a unique solution: having the government sell titles of nobility."
"3","Quality Gets Swept Away","Quality Distribution is hammered after reporting a large loss for the second quarter."
"3","Making Your Insurer Pay","If Hurricane Charley blows your house down, how can you make your insurance company pay?"
"3","Delightful Dell","The company's results show that it's not grim all over tech world. Just all of it that isn't Dell."
"3","Chrysler's Bling King","After a tough year, Detroit's troubled carmaker is back -- thanks to a maverick designer and a car that is dazzling the hip-hop crowd"
"3","What's Cool In the Pool ... ... And Hot On the Deck","Americans are spending more on tricking out the places where they swim. Here's a look at the new wave of accessories"
"3","The Age of Doom","In 1993 six geeks had a digital nightmare that changed the culture. It's about to get far creepier"
"3","Hip Hop's Online Shop","Celebrity fashion is booming. These webpreneurs are bringing it to main street"
"3","Stoking the Steamroller","No other recording artist can channel American middle-class tastes quite like Chip Davis and his best-selling band"
"3","Coming to The Rescue","Got a unique problem? Not to worry: you can find a financial planner for every specialized need"
